"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2024,40,66166,390,56,0.674062,0.589427,0.0846356
National,X,2024,41,69718,414,54,0.671276,0.593821,0.0774549
National,X,2024,42,72766,465,63,0.725614,0.639035,0.0865789
National,X,2024,43,75603,644,86,0.96557,0.851818,0.113752
National,X,2024,44,75177,843,74,1.21979,1.12135,0.0984344
National,X,2024,45,76717,1088,84,1.52769,1.4182,0.109493
National,X,2024,46,81959,1604,126,2.11081,1.95708,0.153735
National,X,2024,47,86735,2291,167,2.83392,2.64138,0.19254
National,X,2024,48,83810,3122,187,3.94822,3.72509,0.223124
National,X,2024,49,98301,4803,261,5.15152,4.88601,0.265511
National,X,2024,50,106220,8760,368,8.59349,8.24703,0.346451
National,X,2024,51,123540,17004,513,14.1792,13.764,0.41525
National,X,2024,52,131073,23288,612,18.2341,17.7672,0.466915
National,X,2025,1,138730,24614,660,18.2181,17.7424,0.475744
National,X,2025,2,133713,23900,700,18.3976,17.8741,0.523509
National,X,2025,3,141593,32808,926,23.8246,23.1706,0.653987
National,X,2025,4,148120,41300,1293,28.7557,27.8828,0.872941
National,X,2025,5,173919,52929,2113,31.6481,30.4331,1.21493
National,X,2025,6,178401,53136,2900,31.4101,29.7846,1.62555
National,X,2025,7,160655,41545,3177,27.8373,25.8598,1.97753
National,X,2025,8,141516,30274,3611,23.9443,21.3926,2.55165
National,X,2025,9,133284,22365,3598,19.4795,16.78,2.6995
National,X,2025,10,117139,14896,3677,15.8555,12.7165,3.13901
National,X,2025,11,107928,10590,3779,13.3135,9.8121,3.50141
National,X,2025,12,97442,6505,3950,10.7295,6.67577,4.05369
National,X,2025,13,90052,4458,3891,9.27131,4.95047,4.32084
National,X,2025,14,82103,2845,3415,7.62457,3.46516,4.15941
National,X,2025,15,74104,1771,2951,6.37213,2.38988,3.98224
National,X,2025,16,63566,1173,2358,5.55486,1.84533,3.70953
