PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2024,40,1.95754,1.86691,10210,12598,X,17950,4708,4768,50234,4242,2690750
National,X,2024,41,2.07308,1.96447,10789,12981,X,18810,4896,4713,52189,4257,2656652
National,X,2024,42,2.10983,2.02736,11027,13551,X,19574,4951,4820,53923,4254,2659769
National,X,2024,43,2.26408,2.17274,12600,14535,X,22964,5151,5047,60297,4255,2775162
National,X,2024,44,2.366,2.25127,13416,15307,X,22380,5380,5080,61563,4194,2734588
National,X,2024,45,2.53298,2.40724,15138,16379,X,23837,5835,5447,66636,4241,2768146
National,X,2024,46,2.74006,2.59326,16335,16875,X,24823,6199,5616,69848,4256,2693446
National,X,2024,47,2.9504,2.80987,18089,18253,X,27520,6740,5918,76520,4220,2723261
National,X,2024,48,3.21432,3.1376,19896,17501,X,23829,6591,6444,74261,4237,2366812
National,X,2024,49,3.36606,3.25857,19980,22877,X,27198,8878,8915,87848,4235,2695904
National,X,2024,50,3.80971,3.69395,22167,25148,X,33885,9957,9880,101037,4241,2735203
National,X,2024,51,4.94558,4.81084,28832,33741,X,45534,12703,12228,133038,4202,2765378
National,X,2024,52,6.76842,6.67255,37511,44836,X,48211,18454,18630,167642,4200,2512412
National,X,2025,1,6.3374,6.1794,33437,48748,X,37589,21907,23108,164789,4229,2666748
National,X,2025,2,5.36051,5.30846,23578,42938,X,36122,19329,17898,139865,4223,2634756
National,X,2025,3,5.76802,5.70145,25992,44129,X,50286,19138,17249,156794,4233,2750072
National,X,2025,4,6.9845,6.85676,30161,50999,X,59197,21106,18013,179476,4237,2617503
National,X,2025,5,7.77291,7.4342,32892,59971,X,72416,26213,23247,214739,4234,2888529
National,X,2025,6,7.8507,7.71698,35154,59857,X,76187,26715,24986,222899,4229,2888422
National,X,2025,7,6.94919,7.07469,29464,52682,X,62220,24327,23967,192660,4227,2723229
National,X,2025,8,5.98046,6.0427,24765,44929,X,46617,20416,20511,157238,4222,2602114
National,X,2025,9,4.93887,4.85975,20634,37751,X,39217,17598,18325,133525,4216,2747567
National,X,2025,10,4.31678,4.2809,18352,31558,X,35626,14179,14550,114265,4206,2669181
National,X,2025,11,3.88855,3.88745,17112,28537,X,33024,12489,12641,103803,4185,2670206
National,X,2025,12,3.31604,3.32813,15123,24192,X,28177,10048,10433,87973,4173,2643314
National,X,2025,13,2.95612,2.97203,13735,21534,X,25315,8396,8462,77442,4179,2605693
National,X,2025,14,2.61982,2.61412,12044,18649,X,21801,7314,7151,66959,4169,2561436
National,X,2025,15,2.45037,2.38458,11613,16700,X,19766,6470,6408,60957,4159,2556303
National,X,2025,16,2.2757,2.21627,11034,15477,X,17588,5911,6085,56095,4084,2531059
